sample_id,class_label,class_name,source_type,app_id,app_name,variant_id,floorplan_id,ro_count,target_ro_lut_count,target_ro_lut_pct,target_device,target_device_luts,batch_id,config_local,config_global,shell_id,tool_version,bitstream_path,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,validation_status,file_hash,notes
S065,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP14,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,0,65,c4985680,Vivado v.2024.2,config_065/vfpga_c065_0.bin,PASS,0.044,87136,15381,34.5,0,PASS,22be30b8a6eccabe37166f977f532c74af8ffb6059cd2a316ac980b6de8c3c06,target_pct_nominal=6.0
S066,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP14,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,1,66,c4985680,Vivado v.2024.2,config_066/vfpga_c066_0.bin,FAIL,-1.621,106696,15381,34.5,0,FAIL,42c34208cc09bfed4cc98c0edf166a38857dc037c84197f6c940e6d9f3390054,target_pct_nominal=7.5
S067,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP14,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,2,67,c4985680,Vivado v.2024.2,config_067/vfpga_c067_0.bin,FAIL,-0.974,126256,15381,34.5,0,FAIL,664a17bee840f20adea29001d3371192eff60ce05162e3f647a98df623562873,target_pct_nominal=9.0
S068,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP14,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,3,68,c4985680,Vivado v.2024.2,config_068/vfpga_c068_0.bin,FAIL,-1.778,145816,15381,34.5,0,FAIL,7bf72c5dd5c4523cb808f73765e1a6c4ae3f7aef8a90c21765821927d0b40fbf,target_pct_nominal=10.5
S069,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP14,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,4,69,c4985680,Vivado v.2024.2,config_069/vfpga_c069_0.bin,FAIL,-1.609,165376,15381,34.5,0,FAIL,6b42b756c6aebd040b17f39bd5f5efa801441f690cab8a1b063bdacce0206d8f,target_pct_nominal=12.0
S070,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP14,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,5,70,c4985680,Vivado v.2024.2,config_070/vfpga_c070_0.bin,FAIL,-2.229,184936,15381,34.5,0,FAIL,6e01e3e87e26c4d9b14780305aacdf3f7d6dd7fc5050b8436cb82b307634d8b5,target_pct_nominal=13.5
S071,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP14,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,6,71,c4985680,Vivado v.2024.2,config_071/vfpga_c071_0.bin,FAIL,-1.714,204496,15381,34.5,0,FAIL,9e6af4f5794eb2b6e8e9356781550e7ecf2f64f2a59bf6540172390b132860b6,target_pct_nominal=15.0
S072,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP14,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,7,72,c4985680,Vivado v.2024.2,config_072/vfpga_c072_0.bin,FAIL,-0.604,224056,15381,34.5,0,FAIL,3d70d1aa72f31eb4b71b874efdc4f6ad84f8fc3ed5306de7b7d6c2c3b6ab1397,target_pct_nominal=16.5
S073,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP14,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,8,73,c4985680,Vivado v.2024.2,config_073/vfpga_c073_0.bin,FAIL,-1.289,243616,15381,34.5,0,FAIL,211bc9404ce4d9d50568b9e2bc5b4d8e9c37e66362c36eda1d2c0715e2e1b156,target_pct_nominal=18.0
S074,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP14,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,9,74,c4985680,Vivado v.2024.2,config_074/vfpga_c074_0.bin,FAIL,-1.656,263176,15381,34.5,0,FAIL,7cc5e3e22e2233184672ed96867442d7c64b0bdb719c1c107b4d2ae47b922379,target_pct_nominal=19.5
S075,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP14,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,10,75,c4985680,Vivado v.2024.2,config_075/vfpga_c075_0.bin,FAIL,-2.365,282736,15381,34.5,0,FAIL,e2a084d7fcd9f32523e8f8f16eb99016e895294091e4a8831cec04e90338e750,target_pct_nominal=21.0
S076,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP14,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,11,76,c4985680,Vivado v.2024.2,config_076/vfpga_c076_0.bin,FAIL,-1.089,302296,15381,34.5,0,FAIL,e33b20c5ab228a6fc3a81ea8a2ba64abfca9ca3c61351b0d068169d2027a4354,target_pct_nominal=22.5
S077,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP14,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP14,12,77,c4985680,Vivado v.2024.2,config_077/vfpga_c077_0.bin,FAIL,-2.945,334894,15381,34.5,0,FAIL,3af403b78066d96d0895e84336a15a8ac22129631f4d2ddc3817100a2c36cd65,target_pct_nominal=25.0
